Recipes,Rating,Cook_Time,Calories,Protein,Fat,Carbs,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30
Instant Gingerbread Hot Chocolate,4.5,5,73,1,0,17,1 cup cocoa,1 cup white sugar,1/2 cup brown sugar,2 teaspoons ground ginger,1 teaspoon ground cinnamon,1/4 teaspoon ground cloves,1/4 teaspoon salt,1 pinch cayenne pepper (optional),,,,,,,,,,,,,,,,,,,,,,
Rich Almond Milk Eggnog,0,5,185,8,9,16,1 duck egg,1 cup vanilla almond milk,1 tablespoon white sugar,1/4 teaspoon vanilla extract,2 tablespoons non-dairy whipped topping,1 pinch ground nutmeg,,,,,,,,,,,,,,,,,,,,,,,,
Aperol Sour,0,5,331,6,5,31,1 1/2 fluid ounces Aperol,1 1/2 fluid ounces gin,1 fluid ounce fresh lemon juice,1 fluid ounce simple syrup,1 large egg white,2 dashes bitters, such as Angostura Bitters®,1 cup ice,,,,,,,,,,,,,,,,,,,,,,
Crema di Limoncello (Cream of Limoncello),0,30,96,1,1,18,12 lemons, zested,1 (750 mL) bottle Everclear 190 proof,1 1/2 quarts whole milk,7 1/2 cups white sugar,1 (3g) packet powdered pure vanilla extract, such as Paneangeli® Vanillina, or  1 teaspoon vanilla extract,3 (750 mL) decorative bottles with tight-fitting lids, or more if bottles are smaller,,,,,,,,,,,,,,,,,,,,
Mulled Cranberry Juice,0,5,101,0,0,25,4 cups cranberry juice cocktail,1/4 cup white sugar,3 whole cloves,1 cinnamon stick, plus more for serving,1 or 2 small navel oranges, thinly sliced, plus more for serving,,,,,,,,,,,,,,,,,,,,,,
Sugar Cookie Martini,4,5,442,1,10,13,1 teaspoon vanilla icing, or as needed,1 teaspoon sprinkles, or as needed,1 cup ice, or as needed,3 fluid ounces rum cream liqueur (such as RumChata®),1 1/2 ounces vanilla vodka,1/4 ounce Amaretto,,,,,,,,,,,,,,,,,,,,,
Salted Caramel Apple Shots,0,5,398,1,0,53,2 tablespoons caramel sauce, divided,1/2 teaspoon flaky sea salt (such as Maldon Sea Salt®),ice as needed,3 ounces vodka,4 ounces apple cider,1 teaspoon fresh squeezed lemon juice,1/8 teaspoon cinnamon,green apple slices, for garnish,,,,,,,,,,,,,,,,,,,,
Grinch Punch,0,15,347,2,3,80,2 quarts lime sherbet, sitting at room temperature for a few minutes to soften,1 (1 liter) bottle chilled lemon-lime soda (such as Sprite®),8 cups (1/2 gallon) chilled Hawaiian Punch® Green Berry Rush® juice drink,2 cups chilled pineapple juice, plus more for coating glass rims,1 glass red sanding sugar, for coating glass rims,,,,,,,,,,,,,,,,,,,,,,
Korean Banana Milk,4.8,5,243,5,4,47,1 banana,1/2 cup whole milk,1/2 cup cold water,1 tablespoon pure maple syrup,1 teaspoon vanilla,4 to 5 ice cubes (optional),,,,,,,,,,,,,,,,,,,,,,,,
Tamarind Margarita,0,5,402,3,1,75,1 tablespoon chili-lime seasoning (such as Tajin®),1 lime wedge,2 cups ice, or as needed,2 ounces tamarind paste concentrate,1 1/2 fluid ounces silver tequila,1 fluid ounce agave nectar,1 fluid ounce lime juice,1/2 fluid ounce triple sec,,,,,,,,,,,,,,,,,,,,,
Key Lime Pie Shake,0,5,700,14,27,106,1 1/3 cups vanilla ice cream,1/4 cup 1% milk,2 tablespoons Key lime juice,2 squares graham crackers, divided,2 tablespoons sweetened condensed milk,2 tablespoons whipped cream,1/4 teaspoon zest and 1 wedge from 1 Key lime,,,,,,,,,,,,,,,,,,,,,,
Cucumber-Lime Tonic,0,15,121,1,0,33,1 English cucumber, peeled,2 fluid ounces fresh lime juice,1 1/2 tablespoons sugar,2 cups ice,8 fluid ounces tonic water,2 slices lime, for serving,,,,,,,,,,,,,,,,,,,,,,
Spanish Gin and Tonic (Gin Tonica),5,9,366,7,2,74,whole spices, such as juniper berries, pink peppercorns, star anise, cardamom pods, cloves, or cinnamon sticks,2 fluid ounces gin,4 to 6 fluid ounces tonic water, to taste,sliced fresh citrus fruit, such as lemon, orange, lime, or blood orange,fresh herbs, such as basil, thyme, mint, rosemary, or tarragon,,,,,,,,,
Mango Daiquiri,0,5,419,2,1,73,1 cup frozen mango chunks,2 fluid ounces rum,2 fluid ounces freshly squeezed lime juice,2 fluid ounces agave syrup,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Smoothie,5,5,623,22,19,95,1 small banana, peeled and frozen,1 large Fuji apple, cored and sliced,3/4 cup whole milk plain Greek yogurt,1/4 cup unsweetened apple juice,3 tablespoons rolled oats,1 tablespoon almond butter,2 teaspoons maple syrup, or to taste,1 pinch ground cinnamon,1 pinch ground nutmeg,1 pinch ground cloves,,,,,,,,,,,,,,,,,
"Apple, Strawberry, and Banana Smoothie",5,5,561,9,3,137,3/4 cup vanilla almond milk,1 apple - peeled, cored, and cubed,1 cup halved frozen strawberries,1 frozen banana, peeled and cubed,1/4 cup vanilla Greek yogurt (such as Cabot® 2% lowfat vanilla Greek yogurt),,,,,,,,,,,,,,,,,,,,,,
Charred Lemon Paper Plane,0,5,480,9,3,107,1 lemon,1 pinch sugar,ice as needed,3/4 ounce bourbon,3/4 ounces Aperol,3/4 ounce amaro (such as Cardamaro®),charred lemon twist, for garnish,,,,,,,,,,,,,,,,,,,,,,
