Recipes,Rating,Cook_Time,Calories,Protein,Fat,Carbs,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30
Oven Scrambled Eggs,4.7,10,236,14,19,3,½ cup butter or margarine, melted,24 eggs,2 ¼ teaspoons salt,2 ½ cups milk,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cake Cupcakes with Cream Cheese Frosting,4.5,25,428,5,23,52,2 cups all-purpose flour,1 tablespoon ground cinnamon,2 teaspoons baking soda,2 teaspoons baking powder,½ teaspoon ground allspice,½ teaspoon salt,½ teaspoon ground nutmeg,⅛ teaspoon ground cloves,1 ½ cups dark brown sugar,¾ cup sour cream,½ cup white sugar,½ cup vegetable oil,4 large eggs,2 teaspoons vanilla extract,3 cups freshly grated carrots,1 cup chopped pecans,1 (8 ounce) package cream cheese, softened,½ cup unsalted butter, softened,2 teaspoons vanilla extract,2 teaspoons lemon juice,2 cups confectioners' sugar, or to taste,,,,,,
Brown Sugar and Mustard Ham Glaze,4.8,10,29,0,0,7,1 cup brown sugar,2 tablespoons prepared mustard, or as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Ham Glaze,4.8,5,117,0,31,0,1 cup packed brown sugar,½ cup orange juice,½ cup honey,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Asparagus Risotto,4.8,9,357,11,9,53,20 fresh asparagus spears, trimmed,4 cups low-sodium chicken broth,2 tablespoons olive oil,1 small onion, diced,1 stalk celery, diced,¼ teaspoon salt,¼ teaspoon ground black pepper,1 cup Arborio rice,1 clove garlic, minced,½ cup dry white wine,¼ cup freshly grated Parmesan cheese,2 tablespoons lemon juice,½ teaspoon lemon zest,,,,,,,,,,,,,
Mini Cheesecakes,4.7,30,95,1,5,12,1 (12 ounce) package vanilla wafers,2 (8 ounce) packages cream cheese,¾ cup white sugar,2 large eggs,1 teaspoon vanilla extract,1 (21 ounce) can cherry pie filling,,,,,,,,,,,,,,,,,,,,,,,,
Éclair Cake,4.8,25,395,5,14,65,3 cups milk,1 (8 ounce) container frozen whipped topping, thawed,2 (3.5 ounce) packages instant vanilla pudding mix,1 (16 ounce) package graham cracker squares,1 (16 ounce) package prepared chocolate frosting,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Stuffing,4.7,5,525,8,23,73,1 cup white sugar,½ cup butter or margarine,4 eggs,1 (20 ounce) can crushed pineapple, drained,5 slices white bread, cubed,,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Easter Eggs,4.8,95,402,8,26,40,2 cups creamy peanut butter,¾ cup butter,3 ½ cups confectioners' sugar,3 cups crispy rice cereal,1 (12 ounce) package semisweet chocolate chips,2 tablespoons shortening,,,,,,,,,,,,,,,,,,,,,,,,
Herb-Crusted Rack of Lamb,0,15,762,30,65,18,1 cup panko bread crumbs,¼ cup Italian parsley leaves,3 tablespoons olive oil, divided,4 cloves garlic,2 tablespoons fresh mint leaves,1 tablespoon fresh rosemary leaves,¾ teaspoon kosher salt, divided,½ teaspoon lemon zest,2 (1 pound) frenched racks of lamb, at room temperature, trimmed of excess fat,¼ teaspoon ground black pepper,3 tablespoons Dijon mustard,,,,,,,,,,,,,,,
Grasshopper Pie,4.7,20,568,3,40,48,25 chocolate sandwich cookies,½ cup butter, melted,2 cups marshmallow fluff,¼ cup creme de menthe liqueur,2 cups whipping cream,,,,,,,,,,,,,,,,,,,,,,,,
