Recipes,Rating,Cook_Time,Calories,Protein,Fat,Carbs,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30
“Horrible Hand” Ham and Cheese Board,4.3,30,116,4,11,2,1 1/2 pounds cream cheese, softened,1/3 cup finely chopped roasted red pepper,2 tablespoons chopped fresh Italian parsley,1/2 teaspoon greshly ground black pepper,1/4 teaspoon garlic powder,1/4 teaspoon salt,1 pinch cayenne pepper,6 ounces thinly sliced prosciutto, or other cured ham,crackers or bread to serve,,,,,,,,,,,,,,,,,,,
Pumpkin-Black Cocoa Swirl Cake,4.7,35,530,8,22,76,cooking spray with flour, such as Baker's Joy®,3 cups all-purpose flour,2 1/2 teaspoons pumpkin pie spice,2 teaspoons baking powder,1 teaspoon baking soda,1 teaspoon salt,1/2 cup unsalted butter, softened,1/4 cup vegetable oil,2 cups white sugar,4 large eggs, at room temperature,1 (15-ounce can) pumpkin puree (not pumpkin pie filling),2 teaspoons vanilla extract,1 cup sour cream, at room temperature,3 tablespoons black cocoa powder (such as The Cocoa Trader Black Dutched Cocoa Powder),3 tablespoons unsweetened Dutch processed cocoa powder (such as Ghirardelli Premium 100% Unsweetened Baking Cocoa Powder),2 tablespoons white sugar,1/4 cup milk,1 teaspoon espresso powder (optional),1 (1 ounce) square semi-sweet baking chocolate, melted and cooled slightly,1 cup confectioner's sugar,2 tablespoons black cocoa powder,1 teaspoon vanilla extract,1 pinch salt,6 tablespoons heavy cream, or as needed
Chocolate-Candy Corn Pretzel Bites,4.3,10,309,3,10,52,1 (15 ounce) package pretzel snaps (square waffle-shaped pretzels),1 (10 ounce) bag chocolate candies (such as Hershey®'s Hugs®),1 (14 ounce) package candy corn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween Spiderweb Layered Dip,4.8,20,456,16,32,31,1 cup guacamole,1 ½ cups sour cream, divided,1 (1.25 ounce) package taco seasoning,1 ½ cups finely shredded Cheddar and Monterey Jack cheese blend,1 (15 ounce) jar salsa,1 (20 ounce) can refried black beans,1 large black olive,1 (6 ounce) can sliced black olives,chopped green onions (for garnish),,,,,,,,,,,,,,,,,,,,
Spooky Spider Halloween Hot Dogs,5,20,262,7,19,14,1 (8 ounce) can refrigerated crescent rolls,8 hot dogs,2 tablespoons ketchup, or to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Cheesecake Brownies,4.7,30,355,4,19,44,3 ounces dark chocolate, chopped,½ cup unsalted butter, melted,2 large eggs,1 ¼ cups granulated sugar,1 teaspoon vanilla extract,¾ teaspoon kosher salt,⅔ cup all-purpose flour,½ (8 ounce) package cream cheese, softened,2 tablespoons white sugar,1 large egg white,¼ teaspoon vanilla extract,,,,,,,,,,,,,,,,
Pumpkin Waffles,4.6,30,530,13,17,82,2 ½ cups all-purpose flour,¼ cup packed brown sugar,4 teaspoons baking powder,2 teaspoons ground cinnamon,1 teaspoon ground allspice,1 teaspoon ground ginger,½ teaspoon salt,2 cups milk,1 cup canned pumpkin,4 eggs, separated,¼ cup butter, melted,½ cup white sugar,1 tablespoon cornstarch,1 teaspoon ground cinnamon,1 cup apple cider,1 tablespoon lemon juice,2 tablespoons butter,,,,,,,,,,,
Cranberry Pumpkin Cookies,4.5,20,90,1,4,13,1 cup white sugar,½ cup butter, softened,1 cup solid pack pumpkin puree,1 large egg,1 teaspoon vanilla extract,2 ¼ cups all-purpose flour,2 teaspoons baking powder,1 teaspoon baking soda,1 teaspoon ground cinnamon,½ teaspoon salt,1 cup halved fresh cranberries,½ cup chopped walnuts,1 tablespoon orange zest,,,,,,,,,,,,,,,,
The Best Rolled Sugar Cookies,4.5,20,110,2,5,15,2 cups white sugar,1 ½ cups butter, softened,4 large eggs,1 teaspoon vanilla extract,5 cups all-purpose flour,2 teaspoons baking powder,1 teaspoon salt,,,,,,,,,,,,,,,,,,,,,,
Roasted Pumpkin Seeds,4.6,5,83,3,5,9,1 ½ cups raw whole pumpkin seeds,2 teaspoons butter, melted,1 pinch salt,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Fresh Pumpkin Pie,4.6,20,363,7,18,44,1 ⅓ cups all-purpose flour,½ teaspoon salt,½ cup shortening,3 tablespoons cold water, or more as needed,2 cups mashed, cooked pie pumpkin,1 (12 fluid ounce) can evaporated milk,2 large eggs, beaten,¾ cup packed brown sugar,½ teaspoon ground cinnamon, or more to taste,½ teaspoon ground ginger, or more to taste,½ teaspoon ground nutmeg, or more to taste,½ teaspoon salt,,,,,,,,,,,,
